Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C101, C102, C107, C108, C111, C112, C113, C114, C115, C116, C117, C118, C120, C121, C122, C123, C126",0402,18,100n,
"C103, C104, C105, C106, C109, C110, C2",0603,7,22u,
C124,0402,1,4u7,
"C125, C127",0402,2,1u,
"D101, D102",0603,2,BLUE,C84266
D104,D_MiniMELF,1,ZMM10V,C2891751
D2,SK34,1,SK34,C5140034
"IC101, IC103",SOTFL50P160X60-6N,2,TPS563202DRLR,C1513007
"IC104, IC105",SON50P200X200X80-9N,2,DRV8837DSGR,C39159
J1,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,C2905418
J101,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C2765186
"J104, J105, J106, J107, J108, J109",PinHeader_1x04_P2.54mm_Vertical,6,Conn_01x04,C6332197
J111,JST_SM04B-SRSS-TB(LF)(SN),1,SM04B-SRSS-TB(LF)(SN),C7430446
J2,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10,C2881910
"J3, J4",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08,C27438
J5,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,C40877
"JP101, JP102",PinHeader_1x03_P2.54mm_Vertical,2,Jumper_3_Bridged12,C2937625
L101,L_Chilisin_BMRA00040415,1,4u7,C3040385
L102,L_Chilisin_BMRA00040415,1,3u3,C3040384
Q101,DMP2066UFDE7,1,DMP3028LFDE,C150441
"R1, R107, R109, R111",0402,4,10k,
R101,0402,1,27k,
"R102, R105",0402,2,5k1,
"R103, R4, R5",0402,3,2k2,
R104,0402,1,16k,
R106,0402,1,680R,
"R108, R114, R2, R3",0402,4,330R,
"R110, R112",0402,2,1k,
"S101, S102",TS204225WT160SMTTRMSL,2,TS20-42-25-WT-160-SMT-TR,C139797
U101,ESP32-WROOM-32,1,ESP32-WROOM-32,C701342
U103,SOT-23-6,1,USBLC6-4SC6-ES,C5180279
U104,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,C967633
U106,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G431CBUx,C529356
