Designator,Mid X,Mid Y,Rotation,Layer
A101,135.6,-113.26,180.0,bottom
C1,168.5,-81.9,270.0,top
C101,130.5,-98.0,90.0,top
C102,128.0,-100.0,90.0,top
C103,132.5,-99.5,180.0,top
C104,132.5,-101.0,180.0,top
C105,126.5,-99.25,90.0,top
C106,138.5,-99.25,90.0,top
C107,140.0,-100.0,90.0,top
C108,142.5,-98.0,90.0,top
C109,144.5,-99.5,180.0,top
C110,144.5,-101.0,180.0,top
C111,131.7,-73.85,270.0,top
C112,129.2,-74.85,0.0,top
C113,122.8,-107.3,180.0,top
C114,120.8,-107.3,0.0,top
C115,122.75,-68.5,180.0,top
C116,120.75,-68.5,0.0,top
C117,134.5375,-92.3,270.0,top
C118,132.75,-113.3,90.0,top
C119,119.405113,-91.7,180.0,top
C120,144.88,-84.6375,0.0,top
C121,136.165151,-94.137786,180.0,top
C122,136.165151,-93.137786,180.0,top
C123,144.4,-86.1575,90.0,top
C124,136.2,-83.5,180.0,top
C125,145.4,-86.1375,90.0,top
C126,144.4,-88.1375,270.0,top
C127,145.4,-88.1375,270.0,top
C2,168.0,-83.6,0.0,top
D1,122.0,-84.1,0.0,top
D101,126.0,-105.25,0.0,top
D102,138.0,-105.25,0.0,top
D104,119.0,-102.0,90.0,top
D2,118.0,-83.6,90.0,top
IC101,129.75,-100.5,90.0,top
IC103,141.75,-100.5,90.0,top
IC104,121.8,-109.3,0.0,top
IC105,121.8,-70.5,0.0,top
J1,126.46,-65.001,90.0,top
J101,109.8,-77.7,270.0,top
J102,110.96,-111.5,0.0,top
J103,116.04,-67.0,180.0,top
J104,166.63,-78.29,270.0,top
J105,149.09,-78.29,270.0,top
J106,166.63,-75.75,270.0,top
J107,149.09,-75.75,270.0,top
J108,166.63,-73.21,270.0,top
J109,149.09,-73.21,270.0,top
J110,112.5,-97.71,270.0,top
J111,112.75,-88.75,270.0,top
J2,130.894,-87.449,0.0,top
J3,153.382,-65.003,90.0,top
J4,135.597,-113.264,90.0,top
J5,158.455,-113.26,90.0,top
JP101,155.2,-78.29,180.0,top
JP102,137.66,-78.29,180.0,top
L101,131.75,-104.25,0.0,top
L102,143.75,-104.25,0.0,top
Q101,119.5,-97.1,270.0,top
R1,165.4,-83.6,0.0,top
R101,129.25,-98.0,270.0,top
R102,128.0,-97.98,270.0,top
R103,126.0,-106.5,0.0,top
R104,141.25,-98.0,270.0,top
R105,140.0,-97.98,270.0,top
R106,138.0,-106.5,0.0,top
R107,125.25,-113.25,90.0,top
R108,121.25,-100.75,270.0,top
R109,118.5,-74.81,0.0,top
R110,118.5,-73.81,180.0,top
R111,132.6,-81.88,0.0,top
R112,132.6,-80.9,180.0,top
R114,146.8,-94.3,0.0,top
R2,146.75,-91.6,0.0,top
R3,122.5,-88.6,180.0,top
R4,113.5,-83.9,180.0,top
R5,111.0,-83.9,0.0,top
S101,129.0,-113.25,180.0,top
S102,171.2,-74.6,270.0,top
U101,160.385,-94.5,270.0,top
U103,118.5,-77.75,180.0,top
U104,129.2,-72.6,0.0,top
U106,139.4,-88.2,90.0,top
